,location_type,latitude,longitude,customer_id,location_id
0,,1.6823915384615755,-78.7897371818186,13559,0
1,,1.6791365450962032,0.7668233053886399,13559,1
2,,-0.4986483973653315,0.6612414365454651,13559,2
3,Home,0.1008532520270913,0.4381654655391503,28531,3
5,,12.66341321723571,-1.429919200187407,34523,5
6,,-0.2032798076923212,-78.56688511363677,50,6
7,,-0.2043711434422961,0.4355927487568151,50,7
8,Home,2.5756051968780787,0.7082701813272576,23187,8
9,Work,0.1000169880961674,0.0043574215499831,3975,9
10,,0.875032932008317,0.5365400531075206,31258,10
11,,-0.8204825849423131,-0.1215030811704574,21134,11
12,,-0.2328497155092143,0.8312066210941839,32551,12
13,,-0.2096115384615531,0.2725356818181831,8100,13
14,Home,-0.5755555773730608,0.2365548488417778,8100,14
15,Home,-0.2453959615384477,-78.5619077500004,11543,15
16,,-0.2485850000192577,0.8255716590909121,11543,16
17,Home,1.7764091758879548,0.7249986956305003,11543,17
18,,0.2949077822307549,0.3734099295999972,20512,18
19,Work,0.2717559615384595,-78.62302570454587,9870,19
20,,0.7288572179808029,0.5216224720386294,9870,20
21,Other,-0.5020729209203852,0.1092373353062443,4887,21
22,Work,-1.2560592005769382,-0.0903996344318263,22727,22
23,,-1.744332069626786,-0.3498256335204193,29310,23
24,Home,0.0753711538461493,0.0005681818181845,10068,24
25,,-0.9431496153846544,-78.47944595454587,6678,25
26,,0.04350696934616,-0.0085013919045484,6678,26
27,Other,-0.3069103846153568,-78.55463786363677,6502,27
28,,-0.3030295619615582,0.6885944994204449,6502,28
29,Other,-0.2572492152307305,0.5351635424340915,6502,29
30,Other,-0.4066493339233604,0.6331922816876427,6502,30
31,Other,-0.9367480769230778,-78.48020250000042,6151,31
32,Home,-0.8967209075053987,0.1460546160286092,6151,32
33,,-0.1967892307692178,-78.56765218181859,13742,33
34,,-0.1968149700337495,0.535835211249914,13742,34
35,,13.61905964812695,-1.4276248446919817,30252,35
36,Other,0.6504173076923268,-78.6677765909095,13780,36
37,Other,-0.8387526923076987,-78.49178377272767,11402,37
38,Home,-1.094440099595763,0.1012502956119417,27136,38
39,Other,0.127834615384588,0.5435047727272645,22889,39
40,Work,-0.0313796153846261,-78.5872005909095,8874,40
41,,-1.866021153846185,-0.0039831818182052,8874,41
42,,-0.0324478658845817,0.6199950927772784,8874,42
43,,-0.0595175000000294,-78.58387520454585,3036,43
44,,-0.0580521919230342,-0.0084628085659071,3036,44
45,,-0.0353971103846173,0.0207624229500038,3036,45
46,Home,-0.0936483689231509,-0.0076780604159216,12818,46
47,Home,0.046054615384633,-78.59635190909133,16768,47
48,,-0.1240561538461339,-78.57624790909134,16768,48
49,,-0.8620942307692151,-78.48902522727313,16768,49
50,Other,-0.1210958780000053,-0.0057338398750126,16768,50
51,Work,-0.605526730769212,-78.5193468409095,8391,51
52,Home,-0.4314233291346067,0.7786938861250007,8391,52
53,Work,-0.6036378990498038,0.7372990509976456,8391,53
54,Home,-1.4348796153846304,-78.42133240909132,3923,54
55,,-1.4378352613077157,-0.029248724479542,3923,55
56,Home,-1.1798715384615186,-78.45146972727314,15573,56
57,,0.1602836538461455,-78.60985170454586,13311,57
58,Home,0.1576418784230439,0.5187822324590864,13311,58
59,Home,0.0304140384615247,-78.59450347727314,4177,59
60,,-0.5267711538461606,-78.52865431818222,4177,60
61,Home,0.0304724579230665,0.0002307974999963,4177,61
62,,-0.586738807500713,0.1408153551762297,5640,62
63,Home,-0.6570807692307719,-78.5132540909095,6352,63
64,,-0.656528844673091,0.867647499568189,6352,64
65,,-1.9269034222307408,0.0039302877340865,23056,65
66,Home,-1.2284615384615,-0.1164972727272719,23056,66
67,,0.0008711538461543,0.4873872727272683,23056,67
68,,-1.1542201923076751,-78.4545012500004,11463,68
69,,-0.126855769230576,0.6028402954545018,15542,69
70,,-0.4446165539598475,0.0894325741312525,8475,70
71,Home,-0.1207321153846253,-78.57664075000042,17670,71
72,Home,-1.2699784529450169,0.088583217449506,17670,72
73,Home,-0.6844311325371556,0.739482203315383,25700,73
74,,-0.4010257448461486,0.0418888994863634,21042,74
75,,0.253613461538432,-78.6208815909095,9098,75
76,,0.0358073421730539,0.6292964795772866,955,76
77,Other,-0.7789266365614509,0.2319249280474537,34565,77
78,Work,0.0662655676154222,-0.0095839587818376,2322,78
79,,0.6118953901850461,0.5416088185527259,33424,79
80,,12.622399283234826,-1.4541589021682853,29208,80
81,,0.1575984322495474,0.4523125941102978,31400,81
82,Home,0.5948980769230726,-78.66121522727313,3409,82
83,Home,-0.3824305769230783,-78.5457127500004,3409,83
84,Home,0.5948347768845627,0.5106965547659241,3409,84
85,,-0.3907489731910868,0.6431692913174624,3409,85
86,Home,-1.264831153846134,-78.44142904545495,16850,86
87,,-1.5009365384615516,0.0410140909090924,19087,87
88,Other,-2.181744776715263,-0.6227533546361127,30394,88
89,Home,0.6443365384615514,0.5637254545454595,26886,89
90,,-1.2540594230769675,-78.44270206818223,10840,90
91,,-1.2531093951539023,-0.0414390901363538,10840,91
92,Home,0.2767162307499699,0.3007676051227179,10840,92
93,Other,0.1342572945751269,0.0490599945187693,10840,93
94,Home,-0.6153447959192888,0.7486086744078083,24835,94
