,vendor_id,customer_id,rating
0,72,13871.0,5.0
1,34,11888.0,5.0
2,61,11064.0,4.0
3,34,14021.0,4.0
4,19,8187.0,5.0
5,21,11064.0,5.0
6,19,5112.0,5.0
7,17,10221.0,5.0
8,46,16936.0,2.0
9,69,15309.0,1.0
10,5,10384.0,5.0
11,22,11261.0,4.0
12,44,948.0,5.0
13,27,1935.0,5.0
14,25,5070.0,3.0
15,11,8234.0,5.0
16,15,5955.0,5.0
17,31,15359.0,5.0
18,27,10325.0,5.0
19,0,16777.0,5.0
20,29,17057.0,5.0
21,5,16863.0,5.0
22,13,2919.0,5.0
23,17,62.0,4.0
24,41,3370.0,5.0
25,17,14205.0,4.0
26,23,12377.0,5.0
27,0,5955.0,4.0
28,22,3949.0,4.0
29,61,3895.0,5.0
30,27,8837.0,4.0
31,30,17305.0,3.0
32,12,2487.0,5.0
33,24,9936.0,5.0
34,28,11078.0,5.0
35,17,17317.0,5.0
36,58,6849.0,4.0
37,37,14599.0,5.0
38,27,10456.0,5.0
39,19,3650.0,5.0
40,17,17386.0,5.0
41,57,17343.0,2.0
42,25,5913.0,4.0
43,43,5.0,1.0
44,19,17497.0,4.0
45,13,17360.0,5.0
46,28,17360.0,5.0
47,41,17360.0,5.0
48,28,17360.0,5.0
49,13,5584.0,5.0
50,62,5.0,1.0
51,22,4775.0,5.0
52,19,7566.0,5.0
53,69,5.0,1.0
54,27,8837.0,5.0
55,11,7878.0,1.0
56,57,4300.0,3.0
57,25,5584.0,5.0
58,0,16777.0,5.0
59,33,4603.0,5.0
60,57,9828.0,5.0
61,25,1553.0,3.0
62,22,10809.0,5.0
63,57,17717.0,5.0
64,45,17726.0,4.0
65,44,3331.0,5.0
66,1,16890.0,5.0
67,27,17526.0,5.0
68,17,11109.0,5.0
69,45,1883.0,5.0
70,47,11450.0,5.0
71,23,17862.0,5.0
72,17,2682.0,5.0
73,28,408.0,5.0
74,27,15160.0,5.0
75,17,6804.0,5.0
76,24,6547.0,5.0
77,37,11658.0,5.0
78,34,17910.0,4.0
79,46,10285.0,5.0
80,50,11041.0,3.0
81,5,5.0,5.0
82,45,17381.0,4.0
83,27,6844.0,5.0
84,13,3127.0,3.0
85,19,1457.0,5.0
86,27,6268.0,5.0
87,43,12268.0,4.0
88,22,9984.0,5.0
89,35,12937.0,5.0
90,0,1574.0,5.0
91,3,17705.0,1.0
92,25,2183.0,5.0
93,23,17705.0,5.0
94,4,11913.0,5.0
95,70,16180.0,4.0
96,19,5279.0,5.0
97,14,13095.0,4.0
98,5,18156.0,3.0
99,37,10945.0,5.0
100,34,18207.0,5.0
101,27,9558.0,3.0
102,5,5.0,5.0
103,23,8982.0,5.0
104,27,9558.0,3.0
105,72,8837.0,4.0
106,7,15216.0,1.0
107,45,17345.0,5.0
108,37,16460.0,5.0
109,24,17350.0,2.0
110,17,18383.0,5.0
111,50,11678.0,3.0
112,53,10554.0,2.0
113,34,5838.0,4.0
114,19,2009.0,5.0
115,68,16629.0,4.0
116,57,8342.0,5.0
117,45,767.0,5.0
118,44,9736.0,1.0
119,22,5.0,1.0
120,0,11675.0,4.0
121,35,592.0,4.0
122,21,10914.0,5.0
123,45,12256.0,4.0
